German,English
brauche,need
fertig,finished
halt,stop
allein,alone
beim,at the
sprechen,speak
beide,both
gefunden,found
hatten,had
sache,Thing
hilfe,Help
verdammt,Damn it
ne,ne
jeder,everyone
warst,beings
gern,gladly
konnte,could
darüber,about that
halten,keep
siehst,see
verstehe,understand
jahren,years
kam,came
kind,child
wusste,knew
wahr,true
seinen,his
dazu,to
bruder,brothers
daran,to it
ihrem,hers
denken,think
könnten,might
dank,thanks to
würden,would
lieber,Dear
fall,case
deiner,yours
sehe,see
egal,no matter
kennen,know
deinem,yours
vergessen,forget
frage,ask
mache,make
komme,come
sage,legend
mag,like
sieh,see
echt,real
gib,give
eigentlich,actually
jeden,every
dad,dad
gab,gave
uhr,Clock
stadt,town
männer,Men
baby,infant
fahren,to go
namen,names
bekommen,to get
kopf,head
hi,Hi
gehe,go
kleine,small
später,later
glück,luck
letzte,latest
freunde,friends
n,n
all,Alles
darauf,thereon
ende,The End
dr.,Dr.
bald,soon
töten,kill
dinge,things
meinst,mean
toll,Great
eins,one
minuten,minute
vielen,many
bereit,ready
weit,far
ahnung,idea
seiner,his
bisschen,little
tür,door
auto,automobile
jungs,guys
eure,your
augen,eyes
polizei,police
stehen,stand
sterben,to die
hätten,have
draußen,outside
kenne,know
fast,nearly
runter,down
vorbei,over
treffen,meet
gerne,gladly
dran,your turn
wurden,became
arbeiten,work
mom,mom
verrückt,crazy
neue,new
ging,went
hinter,Behind
sorgen,to care
einzige,single
jemanden,someone
darum,therefore
tochter,daughter
braucht,needs
idee,idea
schwester,sister
drin,in it
ruhig,quiet
sah,saw
ganzen,entire
spät,late
ziemlich,pretty much
solltest,should
name,Surname
sogar,even
kurz,short
kerl,Guy
frauen,women
liegt,lies
suchen,search
finde,find
je,ever
woher,where from
lang,long
job,job
keiner,none
seinem,his
hört,hear
verstehen,to understand
spielen,to play
s.,s.
überhaupt,at all
teufel,devil
verstanden,Understood
verloren,lost
große,size
hand,hand
grund,ground
jahr,year
kommst,come
mama,mummy
ruhe,Quiet
gewesen,been
tod,death
stunden,hours
hoffe,hope
denkst,thinking
oben,above
gestern,yesterday
versuchen,attempt
art,kind
letzten,last
schatz,sweetheart
endlich,Finally
he,hey
nimm,take
etwa,about
erzählt,told
läuft,running
schwer,difficult
anders,different
miss,miss
musste,had to
fünf,five
wasser,water
lässt,leaves
erste,first
versucht,tries
gekommen,came
geschichte,history
wenig,little
holen,fetch
bedeutet,means
nett,kind
wahrheit,truth
woche,week
bringt,brings
deshalb,for this reason
welche,Which
bestimmt,definitely
hoch,high
alter,Age
sagst,say
schau,look
ah,ah
land,country
zimmer,room
wagen,dare
vier,four
gefallen,please
spaß,fun
niemals,No way
schuld,blame
getötet,killed
wollten,wanted to
verlassen,leaving
zeigen,show
beste,best
ernst,serious
unserer,ours
denen,whom
ort,location
bleibt,remains
würdest,would
manchmal,sometimes
glaubst,believe
seite,page
lasst,leaves
zwischen,in between
eben,just
während,during
spiel,game
nehme,take
ersten,first
guter,goods
chance,chance
freundin,friend
krieg,war
gefällt,like
kleinen,small
erzählen,tell
anderes,other
tage,days
entschuldigen,apologize
wichtig,important
gehst,walking
allen,all
bett,bed
mrs.,Mrs.
sachen,stuff
the,the
schlecht,bad
schule,school
entschuldigung,excuse
wort,word
john,John
hättest,would have
wären,be
typ,Type
schlafen,sleep
äh,ah
tu,TU
euer,your
captain,captain
gesicht,face
falls,if
neuen,new
bloß,just
unten,below
teil,part
beiden,both
mensch,man
kleiner,smaller
stellen,place
oft,often
sorge,worries
gedacht,thought
tust,tust
trinken,to drink
einige,some
dies,this
ding,thing
unseren,ours
kriegen,get
blut,blood
ehrlich,Honestly
eltern,parents
scheint,appears
herz,heart
jack,Jack
glücklich,happy
alte,old
alt,old
bleib,stay
wiedersehen,reunite
frei,free
wen,whom
drauf,on it
möglich,possible
irgendwie,somehow
reicht,suffices
fest,Celebration
besten,best
waffe,weapon
kaum,barely
irgendwas,anything
klingt,sounds
platz,space
brauchst,needs
rede,speech
papa,father
falsch,not correct
sondern,but
alten,old
nummer,number
früher,previously
jungen,boys
wohin,where
außer,apart from
früh,early
setzen,set
zuerst,first
wahrscheinlich,probably
dürfen,allowed to
jede,every
arsch,ass
telefon,phone
tue,do
kennst,know
willkommen,welcome
plan,plan
großen,huge
retten,rescue
hierher,here
wär,would be
bring,bring
fehler,mistake
wollt,want
dollar,dollar
zehn,ten
allem,all
pass,passport
nächste,next
stunde,hour
hände,hands
gegeben,given
menge,quantity
langsam,slow
bereits,already
wartet,waiting
sechs,six
lieben,love
meines,mine
büro,office
nächsten,next
gebe,gift
wochen,weeks
ruf,call
schaffen,create
leider,unfortunately
scheiß,shit
hölle,hell
trotzdem,despite it
doktor,doctor
tja,well
new,new
voll,fully
film,Movie
überall,all over
hund,dog
geworden,become
direkt,direct
wolltest,wanted
tat,did
denkt,thinks
schiff,ship
neues,new
wem,whom
könig,king
danach,after that
funktioniert,is working
hattest,hate
lernen,to learn
deswegen,because of this
wow,Wow
nennen,to name
hm,Hm
feuer,Fire
laufen,to run
alleine,alone
erinnern,recall
völlig,fully
kleines,small
könnt,can
stelle,Job
kumpel,Dude
verlieren,lose
probleme,problems
spricht,speaks
kaffee,coffee
luft,air
fand,found
i,I
entschuldige,Excuse me
ziehen,draw
verschwinden,disappear
könntest,might
seht,look
aufhören,stop
eigenen,own
richtige,right one
unserem,ours
suche,seek
zwar,that is
groß,big
hol,brow
buch,a book
krank,ill
fühle,feel
jedes,every
verstehst,understand
wert,worth
arzt,physician
froh,joyful
versuche,tries
straße,Street
rufen,call
heiraten,to marry
super,great
sam,sam
lebt,lives
gutes,good
lasse,let
onkel,uncle
total,total
gebracht,brought
party,party
erklären,to explain
spielt,plays
wahl,choice
vertrauen,to trust
damals,back then
tagen,days
leicht,easy
nachdem,after
gegangen,went
gefühl,feeling
kaufen,to buy
geschafft,done
typen,guy
interessiert,Interested
möchten,want
halte,hold
hält,holds
glaub,belief
irgendwo,somewhere
stück,piece
genauso,just like that
kennt,knows
genommen,taken
zukunft,future
weniger,fewer
cool,cool
licht,light
getroffen,met
himmel,sky
nachricht,news
drüben,over there
passt,fits
sagten,said
kümmern,To take care of
laut,according to
vergiss,forgetful
angerufen,called
sitzen,sit
daß,that
erde,earth
großer,greater
schlüssel,key
rest,rest
passieren,happen
eher,rather
gefragt,asked
gefängnis,jail
opfer,Victim
körper,body
solche,such
mist,damn
mr,MR
findet,find
schreiben,to write
böse,angry
gesprochen,spoken
versuch,attempt
vorstellen,imagine
wovon,About what
sobald,so soon
nochmal,again
herren,Men's
sex,sex
waffen,weapons
wohnung,flat
weh,sore
heißen,mean
krankenhaus,hospital
bringe,bring
höre,listen
millionen,millions
klasse,great
hart,hard
worden,gone
sinn,sense
außerdem,in addition to that
verletzt,hurt
ändern,to change
erfahren,Experienced
tragen,wear
wenigstens,at least
vorsichtig,careful
daddy,daddy
stolz,proud
stark,strong
fällt,fall
möchtest,want
leuten,people
besonders,particularly
schöne,lovely
schicken,send
person,person
schätze,appreciate
solange,so long
länger,longer
großartig,Great
lacht,laughs
anrufen,call
stand,was standing
redest,speech
fühlen,feel
erwartet,expected
boden,floor
boss,boss
stimme,voice
glaubt,believe
still,quiet
sicherheit,safety
setz,setting
ma,MA
mund,mouth
kämpfen,battle
wisst,know
lachen,laugh
hörst,hear
zeug,things
lustig,fun
umbringen,kill
sollst,thorough
hasse,hate
schlimm,terrible
o,O
unglaublich,incredible
wärst,be
laden,load
führen,to lead
gestorben,died
schauen,to look
meinung,opinion
lesen,to read
mörder,murderer
frank,frank
ähm,um
geschehen,happen
geschäft,shop
idiot,idiot
verzeihung,forgiveness
fliegen,to fly
zeig,show
team,team
general,general
mike,Mike
aufs,onto
york,York
vorher,previously
schluss,Enough
schneller,more quickly
liebt,loved
verdient,deserved
mögen,like
meisten,most
denk,think
umgebracht,killed
perfekt,Perfect
versprochen,promised
handy,mobile phone
hinten,rear
monate,months
erinnere,remind
acht,eight
arbeitet,is working
fallen,fall
rufe,calls
nötig,necessary
a,A
mord,murder
heraus,out
tages,day
unmöglich,impossible
liebling,darling
charlie,Charlie
tatsächlich,indeed
folgen,follow
bitten,ask
behalten,keep
nähe,vicinity
arbeite,work
joe,Joe
verdammte,damn
plötzlich,suddenly
lebens,life
hole,hole
tisch,table
michael,Michael
hörte,heard
jemals,ever
liegen,lie
verkaufen,to sell
gefährlich,dangerous
anfangen,begin
bekommt,receives
machte,made
ha,Ha
hotel,hotel
hilft,helps
werdet,become
meister,master
kampf,struggle
antwort,answer
konnten,could
geschickt,sent
jedem,each
obwohl,although
sieben,seven
komisch,strange
gewinnen,to win
ihres,hers
bezahlt,paid
you,you
voller,full of
unterwegs,on road
dumm,dumb
ärger,trouble
bild,image
george,George
neu,New
bezahlen,pay
dagegen,on the other hand
seien,be
starb,died
tom,Tom
monaten,months
leiche,corpse
niemanden,nobody
auge,eye
arschloch,asshole
verheiratet,married
peter,Peter
zieh,pull
nimmt,takes
gerettet,saved
agent,agent
traum,dream
entscheidung,decision
schlimmer,worse
regeln,regulate
fenster,window
fangen,catch
fort,on
ständig,constant
findest,find
gefahr,danger
absolut,absolutely
mary,Mary
augenblick,moment
bescheid,notice
rum,rum
gedanken,thoughts
werd,werry
ziel,target
benutzt,used
bewegung,Move
jemandem,someone
wünschte,wish
worte,words
kamen,came
welcher,which one
